"id", "membership_num", "specialization", "phone", "profile_picture"
1, "VET123", "Cirugía", "+1234567890", "https://example.com/vet1.jpg"
2, "VET456", "Dermatología", "+2345678901", "https://example.com/vet2.jpg"
3, "VET789", "Oftalmología", "+3456789012", "https://example.com/vet3.jpg"
4, "VET101", "Cardiología", "+4567890123", "https://example.com/vet4.jpg"
5, "VET202", "Ortopedia", "+5678901234", "https://example.com/vet5.jpg"
6, "VET303", "Neurología", "+6789012345", "https://example.com/vet6.jpg"
7, "VET404", "Endocrinología", "+7890123456", "https://example.com/vet7.jpg"
8, "VET505", "Oncología", "+8901234567", "https://example.com/vet8.jpg"
9, "VET606", "Radiología", "+9012345678", "https://example.com/vet9.jpg"
10, "VET707", "Anestesiología", "+0123456789", "https://example.com/vet10.jpg"
